Start Date,share_count,temperature,feelsLike,wind,weatherCode,month,weekday,hour,is_holiday,is_weekend
2015-01-02 00:00:00,270,10.0,7.0,35.0,122,1,4,0,0,0
2015-01-02 01:00:00,244,11.0,7.0,34.0,122,1,4,1,0,0
2015-01-02 02:00:00,156,11.0,8.0,32.0,122,1,4,2,0,0
2015-01-02 03:00:00,83,11.0,8.0,31.0,122,1,4,3,0,0
2015-01-02 04:00:00,59,11.0,8.0,26.0,122,1,4,4,0,0
2015-01-02 05:00:00,43,10.0,7.0,22.0,116,1,4,5,0,0
2015-01-02 06:00:00,50,9.0,6.0,17.0,116,1,4,6,0,0
2015-01-02 07:00:00,90,8.0,5.0,18.0,116,1,4,7,0,0
2015-01-02 08:00:00,208,7.0,4.0,18.0,116,1,4,8,0,0
2015-01-02 09:00:00,411,6.0,3.0,18.0,116,1,4,9,0,0
2015-01-02 10:00:00,654,7.0,3.0,21.0,116,1,4,10,0,0
2015-01-02 11:00:00,883,7.0,4.0,23.0,113,1,4,11,0,0
2015-01-02 12:00:00,1117,8.0,4.0,25.0,113,1,4,12,0,0
2015-01-02 13:00:00,1083,8.0,4.0,23.0,113,1,4,13,0,0
2015-01-02 14:00:00,1077,7.0,4.0,22.0,113,1,4,14,0,0
2015-01-02 15:00:00,1007,7.0,3.0,20.0,113,1,4,15,0,0
2015-01-02 16:00:00,969,6.0,2.0,18.0,113,1,4,16,0,0
2015-01-02 17:00:00,717,5.0,2.0,16.0,116,1,4,17,0,0
2015-01-02 18:00:00,623,4.0,1.0,14.0,116,1,4,18,0,0
2015-01-02 19:00:00,501,3.0,0.0,14.0,116,1,4,19,0,0
2015-01-02 20:00:00,380,3.0,0.0,14.0,116,1,4,20,0,0
2015-01-02 21:00:00,255,3.0,0.0,14.0,116,1,4,21,0,0
2015-01-02 22:00:00,244,3.0,0.0,14.0,116,1,4,22,0,0
2015-01-02 23:00:00,121,3.0,0.0,14.0,119,1,4,23,0,0
2015-01-03 00:00:00,266,4.0,0.0,14.0,119,1,5,0,0,1
2015-01-03 01:00:00,226,4.0,0.0,15.0,119,1,5,1,0,1
2015-01-03 02:00:00,174,4.0,0.0,15.0,122,1,5,2,0,1
2015-01-03 03:00:00,166,4.0,0.0,16.0,122,1,5,3,0,1
2015-01-03 04:00:00,80,4.0,1.0,12.0,122,1,5,4,0,1
2015-01-03 05:00:00,66,3.0,2.0,9.0,248,1,5,5,0,1
2015-01-03 06:00:00,90,3.0,2.0,5.0,248,1,5,6,0,1
2015-01-03 07:00:00,136,3.0,1.0,9.0,248,1,5,7,0,1
2015-01-03 08:00:00,234,3.0,0.0,13.0,302,1,5,8,0,1
2015-01-03 09:00:00,604,3.0,-2.0,17.0,302,1,5,9,0,1
2015-01-03 10:00:00,986,3.0,0.0,14.0,302,1,5,10,0,1
2015-01-03 11:00:00,1305,3.0,1.0,10.0,248,1,5,11,0,1
2015-01-03 12:00:00,1705,4.0,3.0,6.0,248,1,5,12,0,1
2015-01-03 13:00:00,1800,4.0,2.0,9.0,248,1,5,13,0,1
2015-01-03 14:00:00,2001,3.0,1.0,12.0,296,1,5,14,0,1
2015-01-03 15:00:00,1777,3.0,0.0,15.0,296,1,5,15,0,1
2015-01-03 16:00:00,1468,3.0,0.0,13.0,296,1,5,16,0,1
2015-01-03 17:00:00,566,2.0,0.0,11.0,248,1,5,17,0,1
2015-01-03 18:00:00,563,2.0,0.0,9.0,248,1,5,18,0,1
2015-01-03 19:00:00,433,2.0,-1.0,10.0,248,1,5,19,0,1
2015-01-03 20:00:00,329,1.0,-2.0,10.0,248,1,5,20,0,1
2015-01-03 21:00:00,239,1.0,-2.0,10.0,248,1,5,21,0,1
2015-01-03 22:00:00,227,1.0,-2.0,10.0,248,1,5,22,0,1
2015-01-03 23:00:00,110,2.0,-1.0,10.0,248,1,5,23,0,1
2015-01-04 00:00:00,155,2.0,-1.0,10.0,248,1,6,0,0,1
2015-01-04 01:00:00,98,1.0,-1.0,9.0,248,1,6,1,0,1
2015-01-04 02:00:00,46,1.0,-1.0,8.0,143,1,6,2,0,1
2015-01-04 03:00:00,30,0.0,-1.0,6.0,143,1,6,3,0,1
2015-01-04 04:00:00,36,0.0,-1.0,6.0,143,1,6,4,0,1
2015-01-04 05:00:00,65,-1.0,0.0,5.0,143,1,6,5,0,1
2015-01-04 06:00:00,512,-1.0,0.0,4.0,143,1,6,6,0,1
2015-01-04 07:00:00,1703,-1.0,1.0,4.0,143,1,6,7,0,1
2015-01-04 08:00:00,3471,0.0,1.0,4.0,113,1,6,8,0,1
2015-01-04 09:00:00,1797,0.0,2.0,5.0,113,1,6,9,0,1
2015-01-04 10:00:00,903,1.0,2.0,5.0,113,1,6,10,0,1
2015-01-04 11:00:00,796,2.0,3.0,5.0,113,1,6,11,0,1
2015-01-04 12:00:00,1092,3.0,4.0,6.0,113,1,6,12,0,1
2015-01-04 13:00:00,1013,3.0,4.0,7.0,113,1,6,13,0,1
2015-01-04 14:00:00,941,3.0,4.0,8.0,113,1,6,14,0,1
2015-01-04 15:00:00,988,3.0,4.0,9.0,113,1,6,15,0,1
2015-01-04 16:00:00,1469,2.0,2.0,8.0,113,1,6,16,0,1
2015-01-04 17:00:00,2499,1.0,0.0,7.0,143,1,6,17,0,1
2015-01-04 18:00:00,2538,0.0,-2.0,6.0,143,1,6,18,0,1
2015-01-04 19:00:00,1457,1.0,-1.0,8.0,143,1,6,19,0,1
2015-01-04 20:00:00,869,2.0,-1.0,9.0,143,1,6,20,0,1
2015-01-04 21:00:00,525,2.0,0.0,11.0,143,1,6,21,0,1
2015-01-04 22:00:00,326,3.0,0.0,11.0,143,1,6,22,0,1
2015-01-04 23:00:00,145,3.0,0.0,11.0,143,1,6,23,0,1
